Iteration,Individual,0,1,2
5,9,19.8,16.8,0.0
5,10,0.8,3.4,0.0
5,11,2.0,8.4,0.0
5,12,10.7,13.8,0.0
5,13,13.7,16.7,0.0
5,14,15.0,19.8,0.0
5,15,5.6,15.8,0.0
5,16,9.0,18.2,0.0
5,17,5.8,2.6,0.0
5,18,13.6,4.3,0.0
5,19,9.8,1.1,0.0
5,20,3.0,11.8,0.0
6,1,8.3,14.4,0.0
6,2,6.0,2.9,0.0
6,3,3.7,6.9,0.0
6,4,10.8,8.4,0.0
6,5,4.1,17.6,0.0
6,6,13.4,8.4,0.0
6,7,2.8,4.0,0.0
6,8,19.8,9.6,0.0
6,9,19.3,16.3,0.0
6,10,0.8,3.4,0.0
6,11,2.0,8.4,0.0
6,12,10.7,13.8,0.0
6,13,13.7,16.7,0.0
6,14,15.0,19.8,0.0
6,15,5.6,15.8,0.0
6,16,9.0,18.2,0.0
6,17,5.8,2.6,0.0
6,18,13.6,4.3,0.0
6,19,9.8,1.1,0.0
6,20,3.0,11.8,0.0
7,1,8.3,14.4,0.0
7,2,6.0,2.9,0.0
7,3,3.7,6.9,0.0
7,4,10.8,8.4,0.0
7,5,4.1,17.6,0.0
7,6,13.4,8.4,0.0
7,7,2.8,4.0,0.0
7,8,19.8,9.6,0.0
7,9,19.3,16.3,0.0
7,10,0.8,3.4,0.0
7,11,2.0,8.4,0.0
7,12,10.7,13.8,0.0
7,13,13.7,16.7,0.0
7,14,15.0,19.8,0.0
7,15,5.6,15.8,0.0
7,16,9.0,18.2,0.0
7,17,5.8,2.6,0.0
7,18,13.6,4.3,0.0
7,19,9.8,1.1,0.0
7,20,3.0,11.8,0.0
8,1,8.3,14.4,0.0
8,2,6.0,2.9,0.0
8,3,3.7,6.9,0.0
8,4,10.8,8.4,0.0
8,5,4.1,17.6,0.0
8,6,13.4,8.4,0.0
8,7,2.8,4.0,0.0
8,8,19.8,9.6,0.0
8,9,19.3,16.3,0.0
8,10,0.8,3.4,0.0
8,11,2.0,8.4,0.0
8,12,10.7,13.8,0.0
8,13,13.7,16.7,0.0
8,14,15.0,19.8,0.0
8,15,5.6,15.8,0.0
8,16,9.0,18.2,0.0
8,17,5.8,2.6,0.0
8,18,13.6,4.3,0.0
8,19,9.8,1.1,0.0
8,20,3.0,11.8,0.0
9,1,8.3,14.4,0.0
9,2,6.0,2.9,0.0
9,3,3.7,6.9,0.0
9,4,10.8,8.4,0.0
9,5,4.1,17.6,0.0
9,6,13.4,8.4,0.0
9,7,2.8,4.0,0.0
9,8,19.8,9.6,0.0
9,9,19.3,16.3,0.0
9,10,0.8,3.4,0.0
9,11,2.0,8.4,0.0
9,12,10.7,13.8,0.0
9,13,13.7,16.7,0.0
9,14,15.0,19.8,0.0
9,15,5.6,15.8,0.0
9,16,9.0,18.2,0.0
9,17,5.8,2.6,0.0
9,18,13.6,4.3,0.0
9,19,9.8,1.1,0.0
9,20,3.0,11.8,0.0
10,1,8.3,14.4,0.0
10,2,6.0,2.9,0.0
10,3,3.7,6.9,0.0
10,4,10.8,8.4,0.0
10,5,4.1,17.6,0.0
10,6,13.4,8.4,0.0
10,7,2.8,4.0,0.0
10,8,19.8,9.6,0.0
10,9,19.3,16.3,0.0
10,10,0.8,3.4,0.0
10,11,2.0,8.4,0.0
10,12,10.7,13.8,0.0
10,13,13.7,16.7,0.0
10,14,15.0,19.8,0.0
10,15,5.6,15.8,0.0
10,16,9.0,18.2,0.0
10,17,5.8,2.6,0.0
10,18,13.6,4.3,0.0
10,19,9.8,1.1,0.0
10,20,3.0,11.8,0.0
11,1,8.3,14.4,0.0
11,2,6.0,2.9,0.0
11,3,3.7,6.9,0.0
11,4,10.8,8.4,0.0
11,5,4.1,17.6,0.0
11,6,13.4,8.4,0.0
11,7,2.8,4.0,0.0
11,8,19.8,9.6,0.0
11,9,19.3,16.3,0.0
11,10,0.8,3.4,0.0
11,11,2.0,8.4,0.0
11,12,10.7,13.8,0.0
11,13,13.7,16.7,0.0
11,14,15.0,19.8,0.0
11,15,5.6,15.8,0.0
11,16,9.0,18.2,0.0
11,17,5.8,2.6,0.0
11,18,13.6,4.3,0.0
11,19,9.8,1.1,0.0
11,20,3.0,11.8,0.0
12,1,8.3,14.4,0.0
12,2,6.0,2.9,0.0
12,3,3.7,6.9,0.0
12,4,10.8,8.4,0.0
12,5,4.1,17.6,0.0
12,6,13.4,8.4,0.0
12,7,2.8,4.0,0.0
12,8,19.8,9.6,0.0
12,9,19.3,16.3,0.0
12,10,0.8,3.4,0.0
12,11,2.0,8.4,0.0
12,12,10.7,13.8,0.0
12,13,13.7,16.7,0.0
12,14,15.0,19.8,0.0
12,15,5.6,15.8,0.0
12,16,9.0,18.2,0.0
12,17,5.8,2.6,0.0
12,18,13.6,4.3,0.0
12,19,9.8,1.1,0.0
12,20,3.0,11.8,0.0
13,1,8.3,14.4,0.0
13,2,6.0,2.9,0.0
13,3,3.7,6.9,0.0
13,4,7.3,9.0,0.0
13,5,4.1,17.6,0.0
13,6,13.4,8.4,0.0
13,7,2.8,4.0,0.0
13,8,19.8,9.6,0.0
13,9,19.3,16.3,0.0
13,10,0.8,3.4,0.0
13,11,2.0,8.4,0.0
13,12,10.7,13.8,0.0
13,13,13.7,16.7,0.0
13,14,15.0,19.8,0.0
13,15,5.6,15.8,0.0
13,16,9.0,18.2,0.0
13,17,5.8,2.6,0.0
13,18,13.6,4.3,0.0
13,19,9.8,1.1,0.0
13,20,3.0,11.8,0.0
14,1,8.3,14.4,0.0
14,2,6.0,2.9,0.0
14,3,3.7,6.9,0.0
14,4,7.3,9.0,0.0
14,5,4.1,17.6,0.0
14,6,13.4,8.4,0.0
14,7,2.8,4.0,0.0
14,8,19.8,9.6,0.0
14,9,19.3,16.3,0.0
14,10,0.8,3.4,0.0
14,11,2.0,8.4,0.0
14,12,10.7,13.8,0.0
14,13,13.7,16.7,0.0
14,14,15.0,19.8,0.0
14,15,5.6,15.8,0.0
14,16,9.0,18.2,0.0
14,17,5.8,2.6,0.0
14,18,13.6,4.3,0.0
14,19,9.8,1.1,0.0
14,20,3.0,11.8,0.0
15,1,8.3,14.4,0.0
15,2,6.0,2.9,0.0
15,3,3.7,6.9,0.0
15,4,7.3,9.0,0.0
15,5,4.1,17.6,0.0
15,6,13.4,8.4,0.0
15,7,2.8,4.0,0.0
15,8,19.8,9.6,0.0
15,9,19.3,16.3,0.0
15,10,0.8,3.4,0.0
15,11,2.0,8.4,0.0
15,12,10.7,13.8,0.0
15,13,13.7,16.7,0.0
15,14,15.0,19.8,0.0
15,15,5.6,15.8,0.0
15,16,9.0,18.2,0.0
15,17,5.8,2.6,0.0
15,18,13.6,4.3,0.0
15,19,9.8,1.1,0.0
15,20,3.0,11.8,0.0
16,1,8.3,14.4,0.0
16,2,6.0,2.9,0.0
16,3,3.7,6.9,0.0
16,4,7.3,9.0,0.0
16,5,4.1,17.6,0.0
16,6,13.4,8.4,0.0
16,7,2.8,4.0,0.0
16,8,19.8,9.6,0.0
16,9,19.3,16.3,0.0
16,10,0.8,3.4,0.0
16,11,2.0,8.4,0.0
16,12,10.7,13.8,0.0
16,13,13.7,16.7,0.0
16,14,15.0,19.8,0.0
16,15,5.6,15.8,0.0
16,16,9.0,18.2,0.0
16,17,5.8,2.6,0.0
16,18,13.6,4.3,0.0
16,19,9.8,1.1,0.0
16,20,3.0,11.8,0.0
17,1,8.3,14.4,0.0
17,2,6.0,2.9,0.0
17,3,3.7,6.9,0.0
17,4,7.3,9.0,0.0
17,5,4.1,17.6,0.0
17,6,13.4,8.4,0.0
17,7,2.8,4.0,0.0
17,8,19.8,9.6,0.0
17,9,19.3,16.3,0.0
17,10,0.8,3.4,0.0
17,11,2.0,8.4,0.0
17,12,10.7,13.8,0.0
17,13,13.7,16.7,0.0
17,14,15.0,19.8,0.0
17,15,5.6,15.8,0.0
17,16,9.0,18.2,0.0
17,17,5.8,2.6,0.0
17,18,13.6,4.3,0.0
17,19,9.8,1.1,0.0
17,20,3.0,11.8,0.0
18,1,8.3,14.4,0.0
18,2,6.0,2.9,0.0
18,3,3.7,6.9,0.0
18,4,7.3,9.0,0.0
18,5,4.1,17.6,0.0
18,6,13.4,8.4,0.0
18,7,2.8,4.0,0.0
18,8,19.8,9.6,0.0
18,9,19.3,16.3,0.0
18,10,0.8,3.4,0.0
18,11,2.0,8.4,0.0
18,12,10.7,13.8,0.0
18,13,13.7,16.7,0.0
18,14,15.0,19.8,0.0
18,15,5.6,15.8,0.0
18,16,9.0,18.2,0.0
18,17,5.8,2.6,0.0
18,18,13.6,4.3,0.0
18,19,9.8,1.1,0.0
18,20,3.0,11.8,0.0
19,1,8.3,14.4,0.0
19,2,6.0,2.9,0.0
19,3,3.7,6.9,0.0
19,4,7.3,9.0,0.0
19,5,4.1,17.6,0.0
19,6,13.4,8.4,0.0
19,7,2.8,4.0,0.0
19,8,19.8,9.6,0.0
19,9,19.3,16.3,0.0
19,10,0.8,3.4,0.0
19,11,2.0,8.4,0.0
19,12,10.7,13.8,0.0
19,13,13.7,16.7,0.0
19,14,15.0,19.8,0.0
19,15,5.6,15.8,0.0
19,16,9.0,18.2,0.0
19,17,5.8,2.6,0.0
19,18,13.6,4.3,0.0
19,19,9.8,1.1,0.0
19,20,3.0,11.8,0.0
20,1,8.3,14.4,0.0
20,2,6.0,2.9,0.0
20,3,3.7,6.9,0.0
20,4,7.3,9.0,0.0
20,5,4.1,17.6,0.0
20,6,13.4,8.4,0.0
20,7,2.8,4.0,0.0
20,8,19.8,9.6,0.0
20,9,19.3,16.3,0.0
20,10,0.8,3.4,0.0
20,11,2.0,8.4,0.0
20,12,10.7,13.8,0.0
20,13,13.7,16.7,0.0
20,14,15.0,19.8,0.0
20,15,5.6,15.8,0.0
20,16,9.0,18.2,0.0
20,17,5.8,2.6,0.0
20,18,13.6,4.3,0.0
20,19,9.8,1.1,0.0
20,20,3.0,11.8,0.0
21,1,8.3,14.4,0.0
21,2,6.0,2.9,0.0
21,3,3.7,6.9,0.0
21,4,7.3,9.0,0.0
21,5,4.1,17.6,0.0
21,6,13.4,8.4,0.0
21,7,2.8,4.0,0.0
21,8,19.8,9.6,0.0
21,9,19.3,16.3,0.0
21,10,0.8,3.4,0.0
21,11,2.0,8.4,0.0
21,12,10.7,13.8,0.0
21,13,13.7,16.7,0.0
21,14,15.0,19.8,0.0
21,15,5.6,15.8,0.0
21,16,9.0,18.2,0.0
21,17,5.8,2.6,0.0
21,18,13.6,4.3,0.0
21,19,9.8,1.1,0.0
21,20,3.0,11.8,0.0
22,1,8.3,14.4,0.0
22,2,6.0,2.9,0.0
22,3,3.7,6.9,0.0
22,4,7.3,9.0,0.0
22,5,4.1,17.6,0.0
22,6,13.4,8.4,0.0
22,7,2.8,4.0,0.0
22,8,19.8,9.6,0.0
22,9,19.3,16.3,0.0
22,10,0.8,3.4,0.0
22,11,2.0,8.4,0.0
22,12,10.7,13.8,0.0
22,13,13.7,16.7,0.0
22,14,15.0,19.8,0.0
22,15,5.6,15.8,0.0
22,16,9.0,18.2,0.0
22,17,5.8,2.6,0.0
22,18,13.6,4.3,0.0
22,19,9.8,1.1,0.0
22,20,3.0,11.8,0.0
23,1,8.3,14.4,0.0
23,2,6.0,2.9,0.0
23,3,3.7,6.9,0.0
23,4,7.3,9.0,0.0
23,5,4.1,17.6,0.0
23,6,13.4,8.4,0.0
23,7,2.8,4.0,0.0
23,8,19.8,9.6,0.0
23,9,19.3,16.3,0.0
23,10,0.8,3.4,0.0
23,11,2.0,8.4,0.0
23,12,10.7,13.8,0.0
23,13,13.7,16.7,0.0
23,14,15.0,19.8,0.0
23,15,5.6,15.8,0.0
23,16,9.0,18.2,0.0
23,17,5.8,2.6,0.0
23,18,13.6,4.3,0.0
23,19,9.8,1.1,0.0
23,20,3.0,11.8,0.0
24,1,8.3,14.4,0.0
24,2,6.0,2.9,0.0
24,3,3.7,6.9,0.0
24,4,7.3,9.0,0.0
24,5,4.1,17.6,0.0
24,6,13.4,8.4,0.0
24,7,2.8,4.0,0.0
24,8,19.8,9.6,0.0
24,9,19.3,16.3,0.0
24,10,0.8,3.4,0.0
24,11,2.0,8.4,0.0
24,12,10.7,13.8,0.0
24,13,13.7,16.7,0.0
24,14,15.0,19.8,0.0
24,15,5.6,15.8,0.0
24,16,9.0,18.2,0.0
24,17,5.8,2.6,0.0
24,18,13.6,4.3,0.0
24,19,9.8,1.1,0.0
24,20,3.0,11.8,0.0
25,1,8.3,14.4,0.0
25,2,6.0,2.9,0.0
25,3,3.7,6.9,0.0
25,4,7.3,9.0,0.0
25,5,4.1,17.6,0.0
25,6,13.4,8.4,0.0
25,7,2.8,4.0,0.0
25,8,19.8,9.6,0.0
25,9,19.3,16.3,0.0
25,10,0.8,3.4,0.0
25,11,2.0,8.4,0.0
25,12,10.7,13.8,0.0
25,13,13.7,16.7,0.0
25,14,15.0,19.8,0.0
25,15,5.6,15.8,0.0
25,16,9.0,18.2,0.0
25,17,5.8,2.6,0.0
25,18,13.6,4.3,0.0
25,19,9.8,1.1,0.0
25,20,3.0,11.8,0.0
26,1,8.3,14.4,0.0
26,2,6.0,2.9,0.0
26,3,3.7,6.9,0.0
26,4,7.3,9.0,0.0
26,5,4.1,17.6,0.0
26,6,13.4,8.4,0.0
26,7,2.8,4.0,0.0
26,8,19.8,9.6,0.0
26,9,19.3,16.3,0.0
26,10,0.8,3.4,0.0
26,11,2.0,8.4,0.0
26,12,10.7,13.8,0.0
26,13,13.7,16.7,0.0
26,14,15.0,19.8,0.0
26,15,5.6,15.8,0.0
26,16,9.0,18.2,0.0
26,17,5.8,2.6,0.0
26,18,13.6,4.3,0.0
26,19,9.8,1.1,0.0
26,20,3.0,11.8,0.0
27,1,8.3,14.4,0.0
27,2,6.0,2.9,0.0
27,3,3.7,6.9,0.0
27,4,7.3,9.0,0.0
27,5,4.1,17.6,0.0
27,6,13.4,8.4,0.0
27,7,2.8,4.0,0.0
27,8,19.8,9.6,0.0
27,9,19.3,16.3,0.0
27,10,0.8,3.4,0.0
27,11,2.0,8.4,0.0
27,12,10.7,13.8,0.0
27,13,13.7,16.7,0.0
27,14,15.0,19.8,0.0
27,15,5.6,15.8,0.0
27,16,9.0,18.2,0.0
27,17,5.8,2.6,0.0
27,18,13.6,4.3,0.0
27,19,9.8,1.1,0.0
27,20,3.0,11.8,0.0
28,1,8.3,14.4,0.0
28,2,6.0,2.9,0.0
28,3,3.7,6.9,0.0
28,4,7.3,9.0,0.0
28,5,4.1,17.6,0.0
28,6,13.4,8.4,0.0
28,7,2.8,4.0,0.0
28,8,19.8,9.3,0.0
28,9,19.3,16.3,0.0
28,10,0.8,3.4,0.0
28,11,2.0,8.4,0.0
28,12,10.7,13.8,0.0
28,13,13.7,16.7,0.0
28,14,15.0,19.8,0.0
28,15,5.6,15.8,0.0
28,16,9.0,18.2,0.0
28,17,5.8,2.6,0.0
28,18,13.6,4.3,0.0
28,19,9.8,1.1,0.0
28,20,3.0,11.8,0.0
29,1,8.3,14.4,0.0
29,2,6.0,2.9,0.0
29,3,3.7,6.9,0.0
29,4,7.3,9.0,0.0
29,5,4.1,17.6,0.0
29,6,13.4,8.4,0.0
29,7,2.8,4.0,0.0
29,8,19.8,9.3,0.0
29,9,19.3,16.3,0.0
29,10,0.8,3.4,0.0
29,11,2.0,8.4,0.0
29,12,10.7,13.8,0.0
29,13,13.7,16.7,0.0
29,14,15.0,19.8,0.0
29,15,5.6,15.8,0.0
29,16,9.0,18.2,0.0
29,17,5.8,2.6,0.0
29,18,13.6,4.3,0.0
29,19,9.8,1.1,0.0
29,20,3.0,11.8,0.0
30,1,8.3,14.4,0.0
30,2,6.0,2.9,0.0
30,3,3.7,6.9,0.0
30,4,7.3,9.0,0.0
30,5,4.1,17.6,0.0
30,6,13.4,8.4,0.0
30,7,2.8,4.0,0.0
30,8,19.8,9.3,0.0
30,9,19.3,16.3,0.0
30,10,0.8,3.4,0.0
30,11,2.0,8.4,0.0
30,12,10.7,13.8,0.0
30,13,13.7,16.7,0.0
30,14,15.0,19.8,0.0
30,15,5.6,15.8,0.0
30,16,9.0,18.2,0.0
30,17,5.8,2.6,0.0
30,18,13.6,4.3,0.0
30,19,9.8,1.1,0.0
30,20,3.0,11.8,0.0
31,1,8.3,14.4,0.0
31,2,6.0,2.9,0.0
31,3,3.7,6.9,0.0
31,4,7.3,9.0,0.0
31,5,4.1,17.6,0.0
31,6,13.4,8.4,0.0
31,7,2.8,4.0,0.0
31,8,19.8,9.3,0.0
31,9,19.3,16.3,0.0
31,10,0.8,3.4,0.0
31,11,2.0,8.4,0.0
31,12,10.7,13.8,0.0
31,13,12.9,16.5,0.0
31,14,15.0,19.8,0.0
31,15,5.6,15.8,0.0
31,16,9.0,18.2,0.0
31,17,5.8,2.6,0.0
31,18,13.6,4.3,0.0
31,19,9.8,1.1,0.0
31,20,3.0,11.8,0.0
32,1,8.3,14.4,0.0
32,2,6.0,2.9,0.0
32,3,3.7,6.9,0.0
32,4,7.3,9.0,0.0
32,5,4.1,17.6,0.0
32,6,13.4,8.4,0.0
32,7,2.8,4.0,0.0
32,8,19.8,9.3,0.0
32,9,19.3,16.3,0.0
32,10,0.8,3.4,0.0
32,11,2.0,8.4,0.0
32,12,10.7,13.8,0.0
32,13,12.9,16.5,0.0
32,14,15.0,19.8,0.0
32,15,5.6,15.8,0.0
32,16,9.0,18.2,0.0
32,17,5.8,2.6,0.0
32,18,13.6,4.3,0.0
32,19,9.8,1.1,0.0
32,20,3.0,11.8,0.0
33,1,8.3,14.4,0.0
33,2,6.0,2.9,0.0
33,3,3.7,6.9,0.0
33,4,7.3,9.0,0.0
33,5,4.1,17.6,0.0
33,6,13.4,8.4,0.0
33,7,2.8,4.0,0.0
33,8,19.8,9.3,0.0
33,9,19.3,16.3,0.0
33,10,0.8,3.4,0.0
33,11,2.0,8.4,0.0
33,12,10.7,13.8,0.0
33,13,12.9,16.5,0.0
33,14,15.0,19.8,0.0
33,15,5.6,15.8,0.0
33,16,9.0,18.2,0.0
33,17,5.8,2.6,0.0
33,18,13.6,4.3,0.0
33,19,9.8,1.1,0.0
33,20,3.0,11.8,0.0
34,1,8.3,14.4,0.0
34,2,6.0,2.9,0.0
34,3,3.7,6.9,0.0
34,4,7.3,9.0,0.0
34,5,4.1,17.6,0.0
34,6,13.4,8.4,0.0
34,7,2.8,4.0,0.0
34,8,19.8,9.3,0.0
34,9,19.3,16.3,0.0
34,10,0.8,3.4,0.0
34,11,2.0,8.4,0.0
34,12,10.7,13.8,0.0
34,13,12.9,16.5,0.0
34,14,15.0,19.8,0.0
34,15,5.6,15.8,0.0
34,16,9.0,18.2,0.0
34,17,5.8,2.6,0.0
34,18,13.6,4.3,0.0
34,19,9.8,1.1,0.0
34,20,3.0,11.8,0.0
35,1,8.3,14.4,0.0
35,2,6.0,2.9,0.0
35,3,3.7,6.9,0.0
35,4,7.3,9.0,0.0
35,5,4.1,17.6,0.0
35,6,13.4,8.4,0.0
35,7,2.8,4.0,0.0
35,8,19.8,9.2,0.0
35,9,19.3,16.3,0.0
35,10,0.8,3.4,0.0
35,11,2.0,8.4,0.0
35,12,10.7,13.8,0.0
35,13,12.9,16.5,0.0
35,14,15.0,19.8,0.0
35,15,5.6,15.8,0.0
35,16,9.0,18.2,0.0
35,17,5.8,2.6,0.0
35,18,13.6,4.3,0.0
35,19,9.8,1.1,0.0
35,20,3.0,11.8,0.0
36,1,8.3,14.4,0.0
36,2,6.0,2.9,0.0
36,3,3.7,6.9,0.0
36,4,7.3,9.0,0.0
36,5,4.1,17.6,0.0
36,6,13.4,8.4,0.0
36,7,2.8,4.0,0.0
36,8,19.8,9.2,0.0
36,9,19.3,16.3,0.0
36,10,0.8,3.4,0.0
36,11,2.0,8.4,0.0
36,12,10.7,13.8,0.0
36,13,12.9,16.5,0.0
36,14,15.0,19.8,0.0
36,15,5.6,15.8,0.0
36,16,9.0,18.2,0.0
36,17,5.8,2.6,0.0
36,18,13.6,4.3,0.0
36,19,9.8,1.1,0.0
36,20,3.0,11.8,0.0
37,1,8.3,14.4,0.0
37,2,6.0,2.9,0.0
37,3,3.7,6.9,0.0
37,4,7.3,9.0,0.0
37,5,4.1,17.6,0.0
37,6,13.4,8.4,0.0
37,7,2.8,4.0,0.0
37,8,19.8,9.2,0.0
37,9,19.3,16.3,0.0
37,10,0.8,3.4,0.0
37,11,2.0,8.4,0.0
37,12,10.7,13.8,0.0
37,13,12.9,16.5,0.0
37,14,15.0,19.8,0.0
37,15,5.6,15.8,0.0
37,16,9.0,18.2,0.0
37,17,5.8,2.6,0.0
37,18,13.6,4.3,0.0
37,19,9.8,1.1,0.0
37,20,3.0,11.8,0.0
38,1,8.3,14.4,0.0
38,2,6.0,2.9,0.0
38,3,3.7,6.9,0.0
38,4,7.3,9.0,0.0
38,5,4.1,17.6,0.0
38,6,13.4,8.4,0.0
38,7,2.8,4.0,0.0
38,8,19.8,9.2,0.0
38,9,19.3,16.3,0.0
38,10,0.8,3.4,0.0
38,11,2.0,8.4,0.0
38,12,10.7,13.8,0.0
38,13,12.9,16.5,0.0
38,14,15.0,19.8,0.0
38,15,5.6,15.8,0.0
38,16,9.0,18.2,0.0
38,17,5.8,2.6,0.0
38,18,13.6,4.3,0.0
38,19,9.8,1.1,0.0
38,20,3.0,11.8,0.0
39,1,8.3,14.4,0.0
39,2,6.0,2.9,0.0
39,3,3.7,6.9,0.0
39,4,7.3,9.0,0.0
39,5,4.1,17.6,0.0
39,6,13.4,8.4,0.0
39,7,2.8,4.0,0.0
39,8,19.8,9.2,0.0
39,9,19.3,16.3,0.0
39,10,0.8,3.4,0.0
39,11,2.0,8.4,0.0
39,12,10.7,13.8,0.0
39,13,12.9,16.5,0.0
39,14,15.0,19.8,0.0
39,15,5.6,15.8,0.0
39,16,9.0,18.2,0.0
39,17,5.8,2.6,0.0
39,18,13.6,4.3,0.0
39,19,9.8,1.1,0.0
39,20,3.0,11.8,0.0
40,1,8.3,14.4,0.0
40,2,6.0,2.9,0.0
40,3,3.7,6.9,0.0
40,4,7.3,9.0,0.0
40,5,4.1,17.6,0.0
40,6,13.4,8.4,0.0
40,7,2.8,4.0,0.0
40,8,19.8,9.2,0.0
40,9,19.3,16.3,0.0
40,10,0.8,3.4,0.0
40,11,2.0,8.4,0.0
40,12,10.7,13.8,0.0
40,13,12.9,16.5,0.0
40,14,15.0,19.8,0.0
40,15,5.6,15.8,0.0
40,16,9.0,18.2,0.0
40,17,5.8,2.6,0.0
40,18,13.6,4.3,0.0
40,19,9.8,1.1,0.0
40,20,3.0,11.8,0.0
41,1,8.3,14.4,0.0
41,2,6.0,2.9,0.0
41,3,3.7,6.9,0.0
41,4,7.3,9.0,0.0
41,5,4.1,17.6,0.0
41,6,13.4,8.4,0.0
41,7,2.8,4.0,0.0
41,8,19.8,9.2,0.0
41,9,19.3,16.3,0.0
41,10,0.8,3.4,0.0
41,11,2.0,8.4,0.0
41,12,10.7,13.8,0.0
41,13,12.9,16.5,0.0
41,14,15.0,19.8,0.0
41,15,5.6,15.8,0.0
41,16,9.0,18.2,0.0
41,17,5.8,2.6,0.0
41,18,13.6,4.3,0.0
41,19,9.8,1.1,0.0
41,20,3.0,11.8,0.0
42,1,8.3,14.4,0.0
42,2,6.0,2.9,0.0
42,3,3.7,6.9,0.0
42,4,7.3,9.0,0.0
42,5,4.1,17.6,0.0
42,6,13.4,8.4,0.0
42,7,2.8,4.0,0.0
42,8,19.8,9.2,0.0
42,9,19.3,16.3,0.0
42,10,0.8,3.4,0.0
42,11,2.0,8.4,0.0
42,12,10.7,13.8,0.0
42,13,12.9,16.5,0.0
42,14,15.0,19.8,0.0
42,15,5.6,15.8,0.0
42,16,9.0,18.2,0.0
42,17,5.8,2.6,0.0
42,18,13.6,4.3,0.0
42,19,9.8,1.1,0.0
42,20,3.0,11.8,0.0
43,1,8.3,14.4,0.0
43,2,6.0,2.9,0.0
43,3,3.7,6.9,0.0
43,4,7.3,9.0,0.0
43,5,4.1,17.6,0.0
43,6,13.4,8.4,0.0
43,7,2.8,4.0,0.0
43,8,19.8,9.2,0.0
43,9,19.3,16.3,0.0
43,10,0.8,3.4,0.0
43,11,2.0,8.4,0.0
43,12,10.7,13.8,0.0
43,13,12.9,16.5,0.0
43,14,15.0,19.8,0.0
43,15,5.6,15.8,0.0
43,16,9.0,18.2,0.0
43,17,5.8,2.6,0.0
43,18,13.6,4.3,0.0
43,19,9.8,1.1,0.0
43,20,3.0,11.8,0.0
44,1,8.3,14.4,0.0
44,2,6.0,2.9,0.0
44,3,3.7,6.9,0.0
44,4,7.3,9.0,0.0
44,5,4.1,17.6,0.0
44,6,13.4,8.4,0.0
44,7,2.8,4.0,0.0
44,8,19.8,9.2,0.0
44,9,19.3,16.3,0.0
44,10,0.8,3.4,0.0
44,11,2.0,8.4,0.0
44,12,10.7,13.8,0.0
44,13,12.9,16.5,0.0
